video_id,title_caption,views,likes,comments,language,main_topic,emotional_tone,tone_shift,language_register,intended_audience,trend_or_cultural_moment,creator_angle,shareability_reason,analysis_source,content_category
s8cP1Vt5US8,『チェンソーマン 刺客篇』ティザーPV②／Chainsaw Man –  Assassins Arc Official Trailer 2,131722.0,102843.0,4983.0,unknown,Chainsaw Man - Assassins Arc Official Trailer 2,unclear,unclear,unclear,Fans of Chainsaw Man and anime/manga enthusiasts,Ongoing popularity of the Chainsaw Man franchise; anime/manga promotional cycles,Promotional and official announcement approach by the animation studio MAPPA,"High anticipation for a new arc/season of a popular anime, generating hype among fans",metadata_only,Movies & Series
EiQEBYDox_k,Grand Theft Auto VI: Official Cover Art Reveal,7028784.0,792817.0,58851.0,unknown,Official cover art reveal for the Grand Theft Auto VI video game.,unclear,unclear,unclear,"Video game enthusiasts, particularly fans of the Grand Theft Auto series.",The highly anticipated reveal of new information (cover art) for a major global video game franchise (Grand Theft Auto VI).,"Official announcement/reveal directly from the game developer, Rockstar Games, regarding new assets for their upcoming title.","Excitement and anticipation among fans for a highly popular game, making official news a prime sharing topic within gaming communities.",metadata_only,Gaming
B5iB9c6VALI,عشقك غير مؤهل (Instrumental),30917.0,563.0,0.0,unknown,"Instrumental music track, likely related to the artist Cheb Hamza 31",unclear,unclear,unclear,"Listeners of Arabic instrumental music, particularly fans of the artist Cheb Hamza 31 and potentially genres popular in the Maghreb region (e.g., Raï)","Release within the regional (likely North African/Maghrebi) music scene, specifically an instrumental track from a 'Cheb' artist, often associated with genres like Raï","Release of an instrumental version of a song, typical for music artists providing different versions of their work","Appreciation of the instrumental melody or mood, or support for the artist Cheb Hamza 31",metadata_only,Music
Vkbh12yuwWY,Gnawi - 3ALAL Feat. Salim Rbati  [Officiel Audio],,,,,"Music, specifically an official audio track release within the Gnawa music genre, featuring a collaboration.",unclear,unclear,unclear,"Fans of Gnawa music, listeners interested in North African music, and followers of artists 'Gnawi' and 'Salim Rbati'.","The release of new music, potentially aligning with the popularity of Gnawa music or collaborations in the music industry. The engagement metrics (views, likes, comments) suggest an existing audience or interest in this type of content.","To professionally release new music, showcase a collaboration, and cater to an audience interested in the specific genre mentioned.","New music releases, especially official audio tracks, often generate sharing among fans of the artists or genre. The collaboration could expand its reach to the fanbases of both featured artists, encouraging wider sharing.",metadata_only,Music
fAXzLmsbrd8,Escape From Playtime | Release Date Trailer,,,,,"An official announcement or trailer for a product named 'Escape From Playtime', specifically revealing its release date.",unclear,unclear,unclear,"Fans of 'Escape From Playtime', potential new consumers interested in its genre (likely gaming or media), and individuals following new releases or trailers in general. The high engagement suggests a broad audience within its niche.","The release of trailers and official announcements for anticipated media products (likely a game or film), leveraging pre-existing hype or aiming to generate it. This aligns with the cultural trend of event-based marketing and community engagement around new titles.","The creator is acting as an official source or promoter, delivering crucial information (a release date) for 'Escape From Playtime' to build anticipation and drive future engagement or sales. This is a common marketing and promotional strategy for product launches.","The announcement of a release date for a product with 'Escape From Playtime' in its title is likely highly shareable due to existing fan anticipation, the importance of a release date for planning and discussion among communities, and the typical virality of trailers for new or upcoming titles. The high view, like, and comment counts support this.",metadata_only,Gaming
dnuhoREFmY0,هروب اللسان بروبلوكس! 👅😱 أغرب لعبة,,,,,"A peculiar or 'strangest' game experience within the Roblox platform, possibly featuring a 'tongue' related concept.",unclear,unclear,unclear,"Gamers, particularly those interested in Roblox content and unusual or surprising gameplay experiences, likely a younger demographic given Roblox's general appeal.","The ongoing popularity of Roblox gaming and the sub-trend of showcasing or reacting to unique, 'weird,' or viral games/experiences within the platform.","Highlighting and reacting to a specific, unusual, or 'strangest' game on Roblox, potentially focusing on a surprising or bizarre gameplay mechanic involving a 'tongue'.","The title's promise of the 'strangest game' and the unusual 'tongue escape' concept, combined with intriguing emojis, creates a strong curiosity hook. Content that is novel, surprising, or bizarre tends to be highly shareable, especially within a large gaming community like Roblox.",metadata_only,Gaming
akVDNs7qpYg,El Houcine Amrrakchi - AYATMATNGH |2026| الحسين أمراكشي - أيايتماتنغ,,,,,"Music, specifically a song titled 'AYATMATNGH' by the artist 'El Houcine Amrrakchi'. The '2026' in the title may indicate a year associated with the content or release.",unclear,unclear,unclear,"Individuals interested in the artist El Houcine Amrrakchi, or in music, particularly content presented with titles in both Latin and Arabic scripts.","The release or presentation of a musical track, which is a recurring trend within music culture and entertainment.",To showcase and share a musical performance or recording by the artist El Houcine Amrrakchi.,"The potential for viewers to enjoy the music, connect with the artist's work, or discover new music, which are common reasons for sharing entertainment content.",metadata_only,Music
4HJjUxiBq64,TOUMAAL GOR - Bande Annonce,,,,,A trailer for a subject named 'TOUMAAL GOR',unclear,unclear,unclear,Prospective viewers or consumers interested in content related to 'TOUMAAL GOR',Pre-release promotion and marketing for entertainment or media products,Promotional content aimed at generating interest and anticipation for 'TOUMAAL GOR',"Trailers are often shared to inform others about new releases, express anticipation, or facilitate discussion around upcoming media content.",metadata_only,Movies & Series
Mb8nCKrTReY,Zina Daoudia - Meriem [Official Music Video] (2026) / زينة الداودية - مريم,111028.0,3845.0,639.0,ar,An official music video for the song 'Meriem' by Zina Daoudia.,unclear,unclear,"Likely informal or colloquial, as expected in a song, primarily in an Arabic dialect.","Listeners of music, specifically those who understand the primary language (Arabic/Darija) and potential fans of the artist.","A new music release, presented as an 'Official Music Video'.","The creator is releasing an 'Official Music Video' for their song, 'Meriem'.","Likely shared by individuals who enjoy the song or the artist, or find the song's subject (e.g., the name 'Meriem') relatable.",transcript,Music
62bIsvRcPv0,SPIDER-MAN: BRAND NEW DAY – New Trailer (4K),14834311.0,510435.0,21616.0,en,"A new trailer for a Spider-Man related property, titled 'SPIDER-MAN: BRAND NEW DAY', focusing on themes of personal struggle, unknown threats, and heroism.","Intense, urgent, and suspenseful, with underlying themes of fear, personal crisis, determination, and camaraderie.","Yes, the tone shifts frequently from personal distress and confusion to scientific inquiry, external threats, moments of lightheartedness and emotional support, and finally to a determined resolve.","Predominantly informal and conversational, with some direct and exclamatory phrases, occasionally incorporating more formal or scientific terminology when discussing specific plot elements.","Fans of superhero stories, action-adventure content, and those familiar with or interested in the Spider-Man character and its associated media properties.","The release of a new trailer for an established and popular entertainment franchise (Spider-Man), indicating an ongoing production cycle and public interest in its content.","The creator's angle is to present new promotional content (a trailer) for a Spider-Man related property in high quality (4K), serving as a curator or distributor of entertainment news and updates for fans.","The trailer features a popular and recognizable character (Spider-Man), announces new content ('New Trailer'), and is presented in high resolution (4K), making it highly appealing and shareable among fans of the franchise and general entertainment enthusiasts.",transcript,Movies & Series
